Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Floored_age
0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,14500.0,,S,20.0
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,142566.6,C85,C,30.0
1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,15850.0,,S,20.0
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,106200.0,C123,S,30.0
0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,16100.000000000002,,S,30.0
0,3,"Moran, Mr. James",male,28.089285714285715,0,0,330877,16916.6,,Q,20.0
0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,103725.0,E46,S,50.0
0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,42150.0,,S,0.0
1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,22266.600000000002,,S,20.0
1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,60141.6,,C,10.0
1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,33400.0,G6,S,0.0
1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,53100.0,C103,S,50.0
0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,16100.000000000002,,S,20.0
0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,62550.0,,S,30.0
0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,15708.4,,S,10.0
1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,32000.0,,S,50.0
0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,58250.0,,Q,0.0
1,2,"Williams, Mr. Charles Eugene",male,29.44539711191336,0,0,244373,26000.0,,S,20.0
0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,36000.0,,S,30.0
1,3,"Masselmani, Mrs. Fatima",female,30.81476923076923,0,0,2649,14450.0,,C,30.0
0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,52000.0,,S,30.0
1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,26000.0,D56,S,30.0
1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,16058.4,,Q,10.0
1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,71000.0,A6,S,20.0
0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,42150.0,,S,0.0
1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,62775.0,,S,30.0
0,3,"Emir, Mr. Farred Chehab",male,30.81476923076923,0,0,2631,14450.0,,C,30.0
0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,526000.0,C23 C25 C27,S,10.0
1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,28.089285714285715,0,0,330959,15758.4,,Q,20.0
0,3,"Todoroff, Mr. Lalio",male,29.44539711191336,0,0,349216,15791.6,,S,20.0
0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,55441.6,,C,40.0
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,30.81476923076923,1,0,PC 17569,293041.60000000003,B78,C,30.0
1,3,"Glynn, Miss. Mary Agatha",female,28.089285714285715,0,0,335677,15500.0,,Q,20.0
0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,21000.0,,S,60.0
0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,164341.6,,C,20.0
0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,104000.0,,S,40.0
1,3,"Mamee, Mr. Hanna",male,30.81476923076923,0,0,2677,14458.4,,C,30.0
0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,16100.000000000002,,S,20.0
0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,36000.0,,S,10.0
1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,22483.399999999998,,C,10.0
0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,18950.0,,S,40.0
0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,42000.0,,S,20.0
0,3,"Kraeff, Mr. Theodor",male,30.81476923076923,0,0,349253,15791.6,,C,30.0
1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,83158.4,,C,0.0
1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,15758.4,,Q,10.0
0,3,"Rogers, Mr. William John",male,29.44539711191336,0,0,S.C./A.4. 23567,16100.000000000002,,S,20.0
0,3,"Lennon, Mr. Denis",male,28.089285714285715,1,0,370371,31000.0,,Q,20.0
1,3,"O'Driscoll, Miss. Bridget",female,28.089285714285715,0,0,14311,15500.0,,Q,20.0
0,3,"Samaan, Mr. Youssef",male,30.81476923076923,2,0,2662,43358.4,,C,30.0
